Exam Subject,Score,Students (White),Students (Black),Students (Hispanic/Latino),Students (Asian),Students (American Indian/Alaska Native),Students (Native Hawaiian/Pacific Islander),Students (Two or More Races),All Students (2016)
GOVERNMENT & POLITICS: COMPARATIVE,2,2680,328,691,505,13,7,217,4526
GOVERNMENT & POLITICS: COMPARATIVE,1,1612,495,749,335,8,13,155,3436
GOVERNMENT & POLITICS: COMPARATIVE,All,12738,1252,2758,2810,43,39,938,20911
GOVERNMENT & POLITICS: COMPARATIVE,Average,3.2,2.19,2.61,3.35,2.7,2.69,3.04,3.07
GOVERNMENT & POLITICS: U.S.,5,24180,821,3166,6137,35,24,1520,36234
GOVERNMENT & POLITICS: U.S.,4,26176,1315,4593,5568,65,42,1754,39889
GOVERNMENT & POLITICS: U.S.,3,45573,3452,11167,9133,175,101,3098,73488
GOVERNMENT & POLITICS: U.S.,2,39036,4988,14884,7699,240,143,3021,70814
GOVERNMENT & POLITICS: U.S.,1,26371,10048,27046,6363,437,167,2752,74486
GOVERNMENT & POLITICS: U.S.,All,161336,20624,60856,34900,952,477,12145,294911
GOVERNMENT & POLITICS: U.S.,Average,2.89,1.93,2.05,2.93,1.97,2.19,2.69,2.64
HUMAN GEOGRAPHY,5,13124,484,2152,4403,35,24,1004,21464
HUMAN GEOGRAPHY,4,22079,1509,5216,5399,68,41,1681,36406
HUMAN GEOGRAPHY,3,20590,2241,6722,4155,96,45,1657,36036
HUMAN GEOGRAPHY,2,18272,2992,8221,3171,131,63,1612,34982
HUMAN GEOGRAPHY,1,19126,8173,18691,3331,277,130,2358,53250
HUMAN GEOGRAPHY,All,93191,15399,41002,20459,607,303,8312,182138
HUMAN GEOGRAPHY,Average,2.91,1.91,2.12,3.21,2.1,2.23,2.68,2.66
ITALIAN LANGUAGE & CULTURE,5,353,3,134,14,*,,11,518
ITALIAN LANGUAGE & CULTURE,4,244,2,191,31,*,,14,487
ITALIAN LANGUAGE & CULTURE,3,508,21,237,51,*,,14,843
ITALIAN LANGUAGE & CULTURE,2,367,17,115,25,*,,17,547
ITALIAN LANGUAGE & CULTURE,1,146,13,45,10,*,,7,224
ITALIAN LANGUAGE & CULTURE,All,1618,56,722,131,3,,63,2619
ITALIAN LANGUAGE & CULTURE,Average,3.18,2.38,3.35,3.11,*,,3.08,3.2
JAPANESE LANGUAGE & CULTURE,5,67,6,19,687,,*,220,1028
JAPANESE LANGUAGE & CULTURE,4,33,2,11,98,,*,26,173
JAPANESE LANGUAGE & CULTURE,3,111,9,29,219,,*,69,447
JAPANESE LANGUAGE & CULTURE,2,42,4,17,70,,*,16,151
JAPANESE LANGUAGE & CULTURE,1,107,20,67,116,,*,37,351
JAPANESE LANGUAGE & CULTURE,All,360,41,143,1190,,3,368,2150
JAPANESE LANGUAGE & CULTURE,Average,2.75,2.27,2.29,3.98,,*,4.02,3.64
LATIN ,5,524,10,33,207,       ,       ,41,827
LATIN ,4,913,38,74,254,2,1,63,1366
LATIN ,3,1444,67,136,330,7,1,94,2106
LATIN ,2,1047,68,106,180,5,4,72,1505
LATIN ,1,516,45,77,71,2,1,32,753
LATIN ,All,4444,228,426,1042,16,7,302,6557
LATIN ,Average,2.97,2.56,2.72,3.33,2.56,2.29,3.03,3
MUSIC THEORY,5,2018,69,208,800,6,4,160,3340
MUSIC THEORY,4,2068,94,313,519,4,2,150,3206
MUSIC THEORY,3,2850,216,575,578,16,8,211,4519
MUSIC THEORY,2,2822,309,944,449,19,5,236,4873
MUSIC THEORY,1,1180,381,743,212,17,6,119,2701
MUSIC THEORY,All,10938,1069,2783,2558,62,25,876,18639
MUSIC THEORY,Average,3.08,2.22,2.39,3.49,2.4,2.72,3,2.98
PHYSICS C: ELECTRICITY & MAGNETISM,5,3317,53,325,2490,7,4,264,6555
PHYSICS C: ELECTRICITY & MAGNETISM,4,2554,68,317,1498,3,8,215,4717
PHYSICS C: ELECTRICITY & MAGNETISM,3,1534,62,228,805,3,2,131,2809
PHYSICS C: ELECTRICITY & MAGNETISM,2,2062,105,374,1083,4,9,156,3841
PHYSICS C: ELECTRICITY & MAGNETISM,1,1185,111,406,634,8,1,87,2474
PHYSICS C: ELECTRICITY & MAGNETISM,All,10652,399,1650,6510,25,24,853,20396
PHYSICS C: ELECTRICITY & MAGNETISM,Average,3.45,2.62,2.87,3.63,2.88,3.21,3.48,3.44
PHYSICS C: MECHANICS,5,8055,136,775,4750,16,9,620,14542
PHYSICS C: MECHANICS,4,7706,228,975,3492,11,20,578,13169
PHYSICS C: MECHANICS,3,5232,215,859,2091,18,12,381,8908
PHYSICS C: MECHANICS,2,3606,260,929,1448,12,6,260,6610
PHYSICS C: MECHANICS,1,2077,404,1048,951,20,11,161,4749
PHYSICS C: MECHANICS,All,26676,1243,4586,12732,77,58,2000,47978
PHYSICS C: MECHANICS,Average,3.6,2.54,2.89,3.76,2.88,3.17,3.62,3.54
PHYSICS 1,5,3931,45,318,1878,7,3,277,6572
PHYSICS 1,4,13662,209,1510,4777,31,23,931,21413
PHYSICS 1,3,20964,658,3480,6821,55,54,1399,33834
PHYSICS 1,2,27617,1988,8161,8810,135,89,2084,49457
PHYSICS 1,1,17528,4858,18175,6693,166,105,1742,49921
PHYSICS 1,All,83702,7758,31644,28979,394,274,6433,161197
PHYSICS 1,Average,2.51,1.53,1.66,2.53,1.93,2.01,2.37,2.29
PHYSICS 2,5,974,9,100,680,1,1,91,1885
PHYSICS 2,4,2250,50,296,959,4,4,146,3751
PHYSICS 2,3,5065,148,831,1727,15,12,342,8233
PHYSICS 2,2,4230,270,1318,1346,17,14,280,7556
PHYSICS 2,1,801,149,631,328,6,2,66,2018
PHYSICS 2,All,13320,626,3176,5040,43,33,925,23443
PHYSICS 2,Average,2.88,2.2,2.34,3.06,2.47,2.64,2.91,2.83
PSYCHOLOGY,5,33786,1502,5166,10256,64,47,2283,53648
PSYCHOLOGY,4,46424,3304,9975,10279,136,105,3168,74223
PSYCHOLOGY,3,32873,3377,8889,6091,182,87,2366,54551
PSYCHOLOGY,2,22849,3199,8000,4048,118,63,1735,40588
PSYCHOLOGY,1,25039,8825,18729,5264,237,165,2552,61872
PSYCHOLOGY,All,160971,20207,50759,35938,737,467,12104,284882
PSYCHOLOGY,Average,3.26,2.28,2.5,3.45,2.55,2.58,3.07,3.06
RESEARCH,5,132,7,40,58,2,*,12,255
RESEARCH,4,209,16,67,73,2,*,19,393
RESEARCH,3,497,70,229,148,1,*,30,997
RESEARCH,2,375,70,206,91,2,*,40,815
RESEARCH,1,17,8,19,1,       ,*,4,58
RESEARCH,All,1230,171,561,371,7,4,105,2518
RESEARCH,Average,3.05,2.67,2.83,3.26,3.57,*,2.95,2.99
SEMINAR,5,384,15,72,148,,       ,26,657
SEMINAR,4,809,37,174,247,3,4,67,1361
SEMINAR,3,3395,384,1233,836,19,9,252,6217
SEMINAR,2,1029,388,789,214,13,7,114,2607
SEMINAR,1,144,177,218,40,3,3,18,617
SEMINAR,All,5761,1001,2486,1485,38,23,477,11459
SEMINAR,Average,3.05,2.33,2.64,3.17,2.58,2.61,2.94,2.9
SPANISH LANGUAGE,5,6711,185,31918,2086,17,8,473,41837
SPANISH LANGUAGE,4,10736,500,37784,2914,42,11,748,53411
SPANISH LANGUAGE,3,10603,838,26322,2380,36,21,701,41609
SPANISH LANGUAGE,2,4278,651,7844,828,28,13,314,14239
SPANISH LANGUAGE,1,529,255,1079,121,5,2,56,2117
SPANISH LANGUAGE,All,32857,2429,104947,8329,128,55,2292,153213
SPANISH LANGUAGE,Average,3.57,2.88,3.87,3.72,3.3,3.18,3.55,3.77
SPANISH LITERATURE,5,293,14,1294,98,       ,       ,40,1747
SPANISH LITERATURE,4,705,36,4409,202,1,1,69,5470
SPANISH LITERATURE,3,658,69,7698,156,4,3,52,8744
SPANISH LITERATURE,2,244,49,4916,40,1,1,22,5374
SPANISH LITERATURE,1,75,22,1642,17,2,       ,9,1809
SPANISH LITERATURE,All,1975,190,19959,513,8,5,192,23144
SPANISH LITERATURE,Average,3.45,2.85,2.94,3.63,2.5,3,3.57,3
STATISTICS,5,16122,332,1452,8178,31,20,1162,27607
STATISTICS,4,27170,976,3592,8926,72,33,1713,42930
STATISTICS,3,31047,1863,6006,7753,133,64,1969,49390
STATISTICS,2,18135,1925,5431,3992,80,62,1229,31212
STATISTICS,1,19957,5765,13757,4922,212,130,1920,47414
STATISTICS,All,112431,10861,30238,33771,528,309,7993,198553
STATISTICS,Average,3.01,1.91,2.13,3.34,2.3,2.19,2.87,2.86
STUDIO ART: DRAWING,5,1553,94,469,653,5,3,117,2963
STUDIO ART: DRAWING,4,2686,206,868,720,13,10,199,4821
STUDIO ART: DRAWING,3,3667,391,1648,669,20,11,305,6909
STUDIO ART: DRAWING,2,1134,249,871,182,6,5,124,2653
STUDIO ART: DRAWING,1,136,87,166,21,       ,3,26,448
STUDIO ART: DRAWING,All,9176,1027,4022,2245,44,32,771,17794
STUDIO ART: DRAWING,Average,3.48,2.97,3.15,3.8,3.39,3.16,3.33,3.4
STUDIO ART: 2-D DESIGN,5,2459,134,655,608,10,3,198,4159
STUDIO ART: 2-D DESIGN,4,5844,410,1822,1050,34,14,430,9852
STUDIO ART: 2-D DESIGN,3,5624,677,2504,896,64,18,457,10510
STUDIO ART: 2-D DESIGN,2,2022,493,1455,295,28,8,211,4649
STUDIO ART: 2-D DESIGN,1,199,115,284,27,4,       ,17,664
STUDIO ART: 2-D DESIGN,All,16148,1829,6720,2876,140,43,1313,29834
STUDIO ART: 2-D DESIGN,Average,3.52,2.98,3.17,3.67,3.13,3.28,3.44,3.41
STUDIO ART: 3-D DESIGN,5,408,20,107,59,1,1,36,649
STUDIO ART: 3-D DESIGN,4,846,33,189,105,2,2,56,1267
STUDIO ART: 3-D DESIGN,3,1098,67,321,142,10,2,77,1764
STUDIO ART: 3-D DESIGN,2,558,73,314,65,7,2,51,1109
STUDIO ART: 3-D DESIGN,1,38,27,57,7,1,1,4,146
STUDIO ART: 3-D DESIGN,All,2948,220,988,378,21,8,224,4935
STUDIO ART: 3-D DESIGN,Average,3.35,2.75,2.97,3.38,2.76,3,3.31,3.24
U.S. HISTORY,5,36288,1314,5275,11181,69,68,2686,57682
U.S. HISTORY,4,55166,2990,10926,12655,137,109,3849,86955
U.S. HISTORY,3,66434,5380,17797,13061,270,148,4918,109404
U.S. HISTORY,2,61164,8283,25292,11072,403,210,5075,113037
U.S. HISTORY,1,42483,17429,42295,8179,735,291,4650,118184
U.S. HISTORY,All,261535,35396,101585,56148,1614,826,21178,485262
U.S. HISTORY,Average,2.93,1.94,2.13,3.14,2.01,2.34,2.76,2.7
WORLD HISTORY,5,10471,409,1639,4651,18,16,893,18325
WORLD HISTORY,4,25249,1529,5260,8602,75,63,2166,43513
WORLD HISTORY,3,45861,4517,14432,12251,232,142,4002,82475
WORLD HISTORY,2,37512,7133,21994,8844,319,187,3847,81076
WORLD HISTORY,1,15426,9429,23501,3629,337,181,2268,56057
WORLD HISTORY,All,134519,23017,66826,37977,981,589,13176,281446
WORLD HISTORY,Average,2.84,1.97,2.1,3.05,2.1,2.23,2.66,2.6
